window_outcome,base,decile,n,mean_odds_final,actual_rate,implied_rate,ratio,ratio_CI95,lift_vs_base
LATE_placed,0.2801,1,628,37.9,0.2054,0.2033,1.01,"[0.869, 1.156]",0.733
LATE_placed,0.2801,2,976,32.1,0.2213,0.2373,0.933,"[0.837, 1.032]",0.79
LATE_placed,0.2801,3,975,29.8,0.2677,0.2494,1.073,"[0.974, 1.174]",0.956
LATE_placed,0.2801,4,969,29.1,0.259,0.2514,1.031,"[0.933, 1.126]",0.925
LATE_placed,0.2801,5,920,30.4,0.2696,0.2449,1.101,"[0.999, 1.202]",0.962
LATE_placed,0.2801,6,1139,28.3,0.2432,0.2701,0.9,"[0.821, 0.985]",0.868
LATE_placed,0.2801,7,974,25.5,0.2988,0.2984,1.001,"[0.917, 1.086]",1.067
LATE_placed,0.2801,8,971,23.9,0.3059,0.3114,0.982,"[0.902, 1.064]",1.092
LATE_placed,0.2801,9,979,22.7,0.3279,0.3203,1.024,"[0.947, 1.1]",1.171
LATE_placed,0.2801,10,1793,23.0,0.3352,0.3433,0.976,"[0.92, 1.034]",1.197
LATE_won,0.0939,1,628,37.9,0.0717,0.0657,1.091,"[0.83, 1.378]",0.763
LATE_won,0.0939,2,976,32.1,0.0799,0.0768,1.041,"[0.845, 1.26]",0.851
LATE_won,0.0939,3,975,29.8,0.0923,0.0788,1.172,"[0.981, 1.376]",0.983
LATE_won,0.0939,4,969,29.1,0.0877,0.0793,1.106,"[0.903, 1.327]",0.935
LATE_won,0.0939,5,920,30.4,0.0826,0.0764,1.082,"[0.885, 1.286]",0.88
LATE_won,0.0939,6,1139,28.3,0.0729,0.0881,0.828,"[0.68, 0.987]",0.776
LATE_won,0.0939,7,974,25.5,0.1068,0.102,1.046,"[0.877, 1.217]",1.138
LATE_won,0.0939,8,971,23.9,0.0814,0.1066,0.763,"[0.609, 0.923]",0.867
LATE_won,0.0939,9,979,22.7,0.1236,0.1088,1.136,"[0.962, 1.319]",1.317
LATE_won,0.0939,10,1793,23.0,0.116,0.1223,0.949,"[0.843, 1.066]",1.236
EARLY_placed,0.2842,1,570,33.8,0.2421,0.2247,1.077,"[0.947, 1.21]",0.852
EARLY_placed,0.2842,2,927,28.9,0.2794,0.2551,1.095,"[1.0, 1.198]",0.983
EARLY_placed,0.2842,3,923,27.8,0.2394,0.2543,0.942,"[0.847, 1.036]",0.842
EARLY_placed,0.2842,4,919,26.9,0.247,0.2621,0.942,"[0.839, 1.047]",0.869
EARLY_placed,0.2842,5,852,27.5,0.3016,0.2495,1.209,"[1.102, 1.328]",1.061
EARLY_placed,0.2842,6,1031,26.0,0.2541,0.2916,0.871,"[0.796, 0.95]",0.894
EARLY_placed,0.2842,7,922,24.2,0.2907,0.298,0.975,"[0.89, 1.059]",1.023
EARLY_placed,0.2842,8,922,24.3,0.3134,0.3003,1.044,"[0.953, 1.134]",1.103
EARLY_placed,0.2842,9,927,23.9,0.3182,0.3144,1.012,"[0.931, 1.093]",1.12
EARLY_placed,0.2842,10,1686,23.9,0.3173,0.3323,0.955,"[0.898, 1.016]",1.116
EARLY_won,0.0954,1,570,33.8,0.0825,0.0755,1.093,"[0.84, 1.357]",0.865
EARLY_won,0.0954,2,927,28.9,0.1014,0.0847,1.197,"[1.001, 1.411]",1.063
EARLY_won,0.0954,3,923,27.8,0.0813,0.0795,1.023,"[0.809, 1.246]",0.852
EARLY_won,0.0954,4,919,26.9,0.0827,0.0823,1.005,"[0.813, 1.21]",0.867
EARLY_won,0.0954,5,852,27.5,0.0857,0.0769,1.114,"[0.891, 1.335]",0.898
EARLY_won,0.0954,6,1031,26.0,0.0815,0.0985,0.827,"[0.677, 0.982]",0.854
EARLY_won,0.0954,7,922,24.2,0.0998,0.0996,1.002,"[0.822, 1.183]",1.046
EARLY_won,0.0954,8,922,24.3,0.102,0.1004,1.016,"[0.841, 1.208]",1.069
EARLY_won,0.0954,9,927,23.9,0.11,0.108,1.018,"[0.849, 1.191]",1.154
EARLY_won,0.0954,10,1686,23.9,0.1103,0.1185,0.931,"[0.814, 1.054]",1.157
