window,band,tier,n,mean_odds_final,actual_place,implied_place,ratio,ratio_CI95,CI_excludes_1,eligible_n>=300
LATE,"[1,3)",bottom25,213,2.0,0.7512,0.7939,0.946,"[0.875, 1.016]",False,False
LATE,"[1,3)",mid50,425,2.1,0.7012,0.7819,0.897,"[0.841, 0.95]",True,True
LATE,"[1,3)",top25,214,2.3,0.6262,0.7392,0.847,"[0.764, 0.934]",True,False
LATE,"[3,6)",bottom25,369,4.5,0.5285,0.5238,1.009,"[0.911, 1.103]",False,True
LATE,"[3,6)",mid50,737,4.4,0.5278,0.531,0.994,"[0.929, 1.061]",False,True
LATE,"[3,6)",top25,370,4.4,0.5405,0.5275,1.025,"[0.933, 1.118]",False,True
LATE,"[6,12)",bottom25,472,8.9,0.3581,0.3358,1.066,"[0.942, 1.191]",False,True
LATE,"[6,12)",mid50,945,8.6,0.3714,0.3432,1.082,"[0.994, 1.167]",False,True
LATE,"[6,12)",top25,473,8.4,0.3679,0.3597,1.023,"[0.899, 1.142]",False,True
LATE,"[12,25)",bottom25,515,18.4,0.2136,0.198,1.079,"[0.896, 1.272]",False,True
LATE,"[12,25)",mid50,1032,17.4,0.2229,0.2067,1.078,"[0.959, 1.205]",False,True
LATE,"[12,25)",top25,516,17.7,0.2364,0.2155,1.097,"[0.926, 1.262]",False,True
LATE,"[25,60)",bottom25,665,39.5,0.1098,0.1096,1.001,"[0.81, 1.229]",False,True
LATE,"[25,60)",mid50,1329,39.9,0.1008,0.1105,0.912,"[0.766, 1.06]",False,True
LATE,"[25,60)",top25,666,39.4,0.1306,0.1154,1.132,"[0.92, 1.352]",False,True
LATE,"[60,inf)",bottom25,345,85.1,0.0435,0.0611,0.711,"[0.378, 1.097]",False,True
LATE,"[60,inf)",mid50,692,83.7,0.0491,0.0615,0.799,"[0.559, 1.083]",False,True
LATE,"[60,inf)",top25,346,86.2,0.0491,0.0629,0.781,"[0.448, 1.157]",False,True
EARLY,"[1,3)",bottom25,202,2.1,0.7673,0.7876,0.974,"[0.896, 1.045]",False,False
EARLY,"[1,3)",mid50,403,2.1,0.7171,0.7728,0.928,"[0.87, 0.985]",True,True
EARLY,"[1,3)",top25,203,2.3,0.6847,0.7467,0.917,"[0.835, 1.0]",False,False
EARLY,"[3,6)",bottom25,352,4.5,0.5227,0.5279,0.99,"[0.891, 1.086]",False,True
EARLY,"[3,6)",mid50,704,4.3,0.5241,0.5351,0.98,"[0.912, 1.045]",False,True
EARLY,"[3,6)",top25,353,4.3,0.5297,0.5374,0.986,"[0.884, 1.084]",False,True
EARLY,"[6,12)",bottom25,454,8.8,0.3921,0.3368,1.164,"[1.037, 1.298]",True,True
EARLY,"[6,12)",mid50,910,8.7,0.3527,0.341,1.034,"[0.944, 1.131]",False,True
EARLY,"[6,12)",top25,455,8.7,0.367,0.3487,1.053,"[0.933, 1.179]",False,True
EARLY,"[12,25)",bottom25,508,17.7,0.1791,0.2033,0.881,"[0.723, 1.055]",False,True
EARLY,"[12,25)",mid50,1018,17.6,0.2318,0.2046,1.133,"[1.012, 1.258]",True,True
EARLY,"[12,25)",top25,509,17.6,0.22,0.2113,1.041,"[0.863, 1.216]",False,True
EARLY,"[25,60)",bottom25,612,39.9,0.1405,0.1081,1.3,"[1.046, 1.546]",True,True
EARLY,"[25,60)",mid50,1226,39.6,0.0971,0.1098,0.884,"[0.742, 1.032]",False,True
EARLY,"[25,60)",top25,613,40.2,0.1044,0.1126,0.927,"[0.717, 1.138]",False,True
EARLY,"[60,inf)",bottom25,289,82.9,0.0415,0.0617,0.673,"[0.334, 1.063]",False,False
EARLY,"[60,inf)",mid50,578,82.5,0.0519,0.0625,0.831,"[0.553, 1.144]",False,True
EARLY,"[60,inf)",top25,290,86.7,0.0414,0.0607,0.682,"[0.338, 1.081]",False,False
