bucket,n,pred_mean,actual_freq,se,z
"[0.0, 0.01)",347,0.005902601800918817,0.005763688760806916,0.004112173917907644,-0.03378092534145116
"[0.01, 0.025)",984,0.01773871793054868,0.013211382113821139,0.004208013046259355,-1.075884453531351
"[0.025, 0.05)",1791,0.03730412807127533,0.0413176996091569,0.004477908432608955,0.8963049598455383
"[0.05, 0.075)",1489,0.0619309932625809,0.06380120886501008,0.006246317670701007,0.299410901114046
"[0.075, 0.1)",1040,0.08682231745112942,0.09134615384615384,0.00873125479150492,0.5181198468089476
"[0.1, 0.125)",780,0.11187294114157399,0.11794871794871795,0.011286330862409598,0.5383305594362838
"[0.125, 0.15)",598,0.13727712134129616,0.14214046822742474,0.01407291768622447,0.34558198907744286
"[0.15, 0.175)",439,0.16178500306132884,0.16173120728929385,0.01757577903708131,-0.0030607901886732167
"[0.175, 0.2)",348,0.18633905233702922,0.20402298850574713,0.02087296069680773,0.8472174324278998
"[0.2, 0.25)",531,0.22340085020750272,0.24858757062146894,0.01807563677154766,1.3934070889060963
"[0.25, 0.3)",315,0.27304027723898683,0.2507936507936508,0.02510228499333256,-0.8862390993985202
"[0.3, 0.4)",355,0.34430332676032843,0.323943661971831,0.025217842216059674,-0.8073515812360674
"[0.4, 0.5)",150,0.4409067811852597,0.3466666666666667,0.04053870508457427,-2.3246947410378223
"[0.5, 1.01)",77,0.622795974814375,0.5064935064935064,0.055235170022320396,-2.1055872241159213
