bucket,n,pred_mean,actual_freq,se,z
"[0.0, 0.01)",286490,0.0031879711235815534,0.004090893224894412,0.00010531957328036345,8.573165207470568
"[0.01, 0.025)",83128,0.016050032263575736,0.018393321143297083,0.00043586379601396566,5.376195272814686
"[0.025, 0.05)",43224,0.03527345415700176,0.03685452526374237,0.0008872860064631402,1.7819182261681334
"[0.05, 0.075)",17685,0.061150601292776226,0.05880689850155499,0.0018017552660376127,-1.3007886450502604
"[0.075, 0.1)",9558,0.08635788253383071,0.0754341912534003,0.0028731317093044395,-3.802015495862856
"[0.1, 0.125)",5721,0.11153081003204644,0.10260443978325468,0.004161813746785577,-2.1448269413032115
"[0.125, 0.15)",3588,0.13669976220544294,0.12318840579710146,0.00573506827713253,-2.3559190153350738
"[0.15, 0.175)",2457,0.16181343285157165,0.12454212454212454,0.007429764628987219,-5.0164857395391955
"[0.175, 0.2)",1709,0.18657021836560678,0.16383850204798128,0.009423455043913957,-2.412248608572346
"[0.2, 0.25)",2047,0.22225232157183758,0.20468978993649242,0.009189324617252023,-1.9111885113268596
"[0.25, 0.3)",1023,0.2725038625050777,0.2130987292277615,0.013920789302492529,-4.2673681776563965
"[0.3, 0.4)",739,0.33865405239382074,0.2976995940460081,0.017408857387820654,-2.352506970185455
"[0.4, 0.5)",180,0.4382449930541571,0.4,0.036982452229035366,-1.0341389158648184
"[0.5, 1.01)",70,0.5873178205231832,0.4142857142857143,0.058843084096492373,-2.940568273983166
