bucket,n,pred_mean,actual_freq,se,z
"[0.0, 0.01)",267350,0.003625065922495242,0.003575836917897887,0.00011623294905514102,-0.4235374306299395
"[0.01, 0.025)",96191,0.016077958297797516,0.01623852543377239,0.0004055352163311982,0.39593882234814315
"[0.025, 0.05)",49735,0.03518683491886889,0.03605107067457525,0.000826191363937801,1.0460479175033106
"[0.05, 0.075)",19491,0.06107528588883038,0.060489456672310295,0.0017152644190369009,-0.34153872138793523
"[0.075, 0.1)",9973,0.08629279302562892,0.0811190213576657,0.002811757606553082,-1.840048962935222
"[0.1, 0.125)",5564,0.11141463050657821,0.11520488856937455,0.00421819964372276,0.8985487608289827
"[0.125, 0.15)",3336,0.13659338284152095,0.12589928057553956,0.005945789035596919,-1.7986010270389232
"[0.15, 0.175)",2142,0.16139580984362592,0.161531279178338,0.00794904413824326,0.017042216945348264
"[0.175, 0.2)",1403,0.18643310742980976,0.19957234497505347,0.010397509292593863,1.2636908682161772
"[0.2, 0.25)",1462,0.22190130350105494,0.22571819425444598,0.010867348244616024,0.35122558580765306
"[0.25, 0.3)",545,0.27186334713792226,0.27155963302752295,0.019058272187003802,-0.015936077909854792
"[0.3, 0.4)",342,0.33439923723002263,0.37719298245614036,0.02551094177416199,1.6774663046528577
"[0.4, 0.5)",69,0.4374864694904906,0.42028985507246375,0.0597206126267194,-0.2879510718604543
"[0.5, 1.01)",16,0.7032339412822056,0.375,0.11420813377089792,-2.87399794081781
