band,n,win_rate,n_place_eligible,place_rate,win_se,win_ci_lo,win_ci_hi,place_se,place_ci_lo,place_ci_hi
"(-0.001, 10.0]",5993,0.016852995161021192,5993,0.09410979476055398,0.001662744957426219,0.013594015044465804,0.02011197527757658,0.0037716645190019145,0.08671733230331022,0.10150225721779774
"(10.0, 20.0]",4836,0.033085194375516956,4836,0.15281224152191894,0.0025719812859842325,0.02804411105498786,0.038126277696046054,0.005173992119299361,0.1426712169680922,0.16295326607574567
"(20.0, 30.0]",4543,0.04248294078802553,4543,0.1730134272507154,0.002992327871523246,0.03661797815983997,0.04834790341621109,0.005612001330630081,0.16201390464268042,0.18401294985875036
"(30.0, 40.0]",4384,0.04904197080291971,4384,0.22148722627737227,0.003261589942942627,0.042649254514752155,0.05543468709108726,0.006271507426443665,0.2091950717215427,0.23377938083320185
"(40.0, 50.0]",4289,0.07367684775005828,4289,0.2592678946141292,0.003989043336668786,0.06585832281018747,0.0814953726899291,0.0066915531473999345,0.24615245044522532,0.27238333878303306
"(50.0, 60.0]",4168,0.08469289827255279,4168,0.2965451055662188,0.004312638527490736,0.07624012675867095,0.09314566978643463,0.007074563562478854,0.2826789609837603,0.3104112501486774
"(60.0, 70.0]",4193,0.1166229430002385,4193,0.35392320534223703,0.004956814025811121,0.1069075875096487,0.12633829849082828,0.00738472214570148,0.33944914993666214,0.3683972607478119
"(70.0, 80.0]",4180,0.1394736842105263,4180,0.4126794258373206,0.005358460993241715,0.12897110066377254,0.14997626775728007,0.007614753957262254,0.3977545080810866,0.4276043435935546
"(80.0, 90.0]",4237,0.18881283927307058,4237,0.46424356856266225,0.006012388889240836,0.17702855705015855,0.2005971214959826,0.007661740041914536,0.44922655808050976,0.4792605790448147
"(90.0, 100.0]",4238,0.2612081170363379,4238,0.5514393581878244,0.006747982003604448,0.2479820723092732,0.27443416176340263,0.007639747166596533,0.5364654537412952,0.5664132626343537
