band,n,win_rate,n_place_eligible,place_rate,win_se,win_ci_lo,win_ci_hi,place_se,place_ci_lo,place_ci_hi
"(-0.001, 10.0]",5593,0.020740210978008225,5593,0.10030395136778116,0.0019056061076024218,0.017005223007107478,0.024475198948908972,0.004016839858755066,0.09243094524462123,0.10817695749094108
"(10.0, 20.0]",4802,0.032278217409412745,4802,0.1541024573094544,0.002550462554934692,0.027279310801740748,0.03727712401708474,0.005210178300787599,0.1438905078399107,0.1643144067789981
"(20.0, 30.0]",4588,0.05187445510026155,4588,0.20248474280732345,0.0032741456357892147,0.04545712965411469,0.058291780546408406,0.005932721311276514,0.1908566090372215,0.21411287657742542
"(30.0, 40.0]",4428,0.06142728093947606,4428,0.22831978319783197,0.0036083678373791937,0.05435487997821284,0.06849968190073928,0.006307926857312251,0.21595624655749995,0.240683319838164
"(40.0, 50.0]",4286,0.08352776481567896,4286,0.2869808679421372,0.004226189851717121,0.0752444327063134,0.09181109692504452,0.006909569357887607,0.27343811200067747,0.3005236238835969
"(50.0, 60.0]",4368,0.08836996336996338,4368,0.2957875457875458,0.004294576424164936,0.0799525935786001,0.09678733316132665,0.006905585040328208,0.2822525991085025,0.3093224924665891
"(60.0, 70.0]",4207,0.11385785595436178,4207,0.34323746137390065,0.004897189848050921,0.10425936385218197,0.12345634805654158,0.007320070622318875,0.32889012295415565,0.35758479979364566
"(70.0, 80.0]",4152,0.13680154142581888,4152,0.3911368015414258,0.0053330069675854306,0.12634884776935143,0.14725423508228633,0.007573480821822853,0.376292779130653,0.40598082395219864
"(80.0, 90.0]",4424,0.1661392405063291,4424,0.43603074141048825,0.005595969254431593,0.15517114076764318,0.17710734024501504,0.007455533249186545,0.42141789624208265,0.45064358657889386
"(90.0, 100.0]",4213,0.23973415618324234,4213,0.512936150011868,0.006577365371815542,0.22684252005448388,0.25262579231200083,0.007700676386562127,0.49784282429420623,0.5280294757295297
